#    L    TT             EE             TE             PP             TP          
   140   0.404786E+04   0.111845E+01  -0.446254E+02   0.366331E+07   0.409231E+04
   141   0.408211E+04   0.111814E+01  -0.448823E+02   0.364214E+07   0.405490E+04
   142   0.411627E+04   0.111733E+01  -0.451188E+02   0.362114E+07   0.401801E+04
   143   0.415034E+04   0.111603E+01  -0.453345E+02   0.360030E+07   0.398161E+04
   144   0.418430E+04   0.111424E+01  -0.455291E+02   0.357962E+07   0.394571E+04
   145   0.421816E+04   0.111197E+01  -0.457020E+02   0.355911E+07   0.391028E+04
   146   0.425188E+04   0.110922E+01  -0.458530E+02   0.353876E+07   0.387532E+04
   147   0.428546E+04   0.110600E+01  -0.459815E+02   0.351857E+07   0.384080E+04
   148   0.431888E+04   0.110232E+01  -0.460873E+02   0.349854E+07   0.380673E+04
   149   0.435214E+04   0.109817E+01  -0.461698E+02   0.347867E+07   0.377309E+04
   150   0.438520E+04   0.109357E+01  -0.462286E+02   0.345896E+07   0.373986E+04
   151   0.441806E+04   0.108853E+01  -0.462634E+02   0.343940E+07   0.370703E+04
   152   0.445072E+04   0.108305E+01  -0.462740E+02   0.342000E+07   0.367460E+04
   153   0.448316E+04   0.107714E+01  -0.462601E+02   0.340075E+07   0.364256E+04
   154   0.451539E+04   0.107083E+01  -0.462214E+02   0.338166E+07   0.361090E+04
   155   0.454739E+04   0.106410E+01  -0.461576E+02   0.336272E+07   0.357962E+04
   156   0.457917E+04   0.105700E+01  -0.460685E+02   0.334394E+07   0.354871E+04
   157   0.461072E+04   0.104950E+01  -0.459540E+02   0.332530E+07   0.351817E+04
   158   0.464203E+04   0.104165E+01  -0.458136E+02   0.330681E+07   0.348799E+04
   159   0.467309E+04   0.103344E+01  -0.456473E+02   0.328847E+07   0.345816E+04
   160   0.470389E+04   0.102490E+01  -0.454548E+02   0.327028E+07   0.342868E+04
   161   0.473441E+04   0.101604E+01  -0.452358E+02   0.325224E+07   0.339954E+04
   162   0.476465E+04   0.100688E+01  -0.449903E+02   0.323434E+07   0.337073E+04
   163   0.479459E+04   0.997443E+00  -0.447180E+02   0.321659E+07   0.334226E+04
   164   0.482421E+04   0.987731E+00  -0.444187E+02   0.319898E+07   0.331411E+04
   165   0.485350E+04   0.977767E+00  -0.440922E+02   0.318151E+07   0.328628E+04
   166   0.488247E+04   0.967573E+00  -0.437385E+02   0.316419E+07   0.325876E+04
   167   0.491109E+04   0.957172E+00  -0.433573E+02   0.314700E+07   0.323154E+04
   168   0.493936E+04   0.946586E+00  -0.429487E+02   0.312996E+07   0.320463E+04
   169   0.496726E+04   0.935837E+00  -0.425126E+02   0.311305E+07   0.317801E+04
   170   0.499480E+04   0.924941E+00  -0.420490E+02   0.309628E+07   0.315168E+04
   171   0.502196E+04   0.913927E+00  -0.415577E+02   0.307965E+07   0.312563E+04
   172   0.504874E+04   0.902817E+00  -0.410387E+02   0.306315E+07   0.309985E+04
   173   0.507512E+04   0.891634E+00  -0.404919E+02   0.304679E+07   0.307435E+04
   174   0.510110E+04   0.880399E+00  -0.399174E+02   0.303056E+07   0.304911E+04
   175   0.512666E+04   0.869151E+00  -0.393153E+02   0.301446E+07   0.302412E+04
   176   0.515181E+04   0.857904E+00  -0.386855E+02   0.299850E+07   0.299939E+04
   177   0.517652E+04   0.846695E+00  -0.380280E+02   0.298266E+07   0.297491E+04
   178   0.520078E+04   0.835547E+00  -0.373430E+02   0.296696E+07   0.295067E+04
   179   0.522460E+04   0.824481E+00  -0.366303E+02   0.295138E+07   0.292667E+04
   180   0.524797E+04   0.813536E+00  -0.358902E+02   0.293592E+07   0.290291E+04
   181   0.527088E+04   0.802740E+00  -0.351228E+02   0.292060E+07   0.287938E+04
   182   0.529332E+04   0.792124E+00  -0.343281E+02   0.290540E+07   0.285609E+04
   183   0.531528E+04   0.781709E+00  -0.335064E+02   0.289032E+07   0.283301E+04
   184   0.533676E+04   0.771534E+00  -0.326579E+02   0.287536E+07   0.281016E+04
   185   0.535775E+04   0.761635E+00  -0.317824E+02   0.286052E+07   0.278753E+04
   186   0.537824E+04   0.752034E+00  -0.308805E+02   0.284581E+07   0.276511E+04
   187   0.539823E+04   0.742763E+00  -0.299520E+02   0.283121E+07   0.274290E+04
   188   0.541771E+04   0.733860E+00  -0.289974E+02   0.281673E+07   0.272090E+04
   189   0.543667E+04   0.725358E+00  -0.280168E+02   0.280237E+07   0.269911E+04
   190   0.545510E+04   0.717291E+00  -0.270105E+02   0.278812E+07   0.267751E+04
   191   0.547301E+04   0.709690E+00  -0.259787E+02   0.277398E+07   0.265611E+04
   192   0.549038E+04   0.702590E+00  -0.249217E+02   0.275996E+07   0.263490E+04
   193   0.550719E+04   0.696026E+00  -0.238396E+02   0.274605E+07   0.261388E+04
   194   0.552346E+04   0.690032E+00  -0.227329E+02   0.273225E+07   0.259304E+04
   195   0.553918E+04   0.684644E+00  -0.216019E+02   0.271856E+07   0.257239E+04
   196   0.555434E+04   0.679899E+00  -0.204470E+02   0.270498E+07   0.255191E+04
   197   0.556894E+04   0.675833E+00  -0.192685E+02   0.269150E+07   0.253160E+04
   198   0.558299E+04   0.672481E+00  -0.180667E+02   0.267814E+07   0.251147E+04
   199   0.559645E+04   0.669880E+00  -0.168420E+02   0.266487E+07   0.249150E+04
   200   0.560936E+04   0.668066E+00  -0.155950E+02   0.265171E+07   0.247169E+04
   201   0.562169E+04   0.667075E+00  -0.143257E+02   0.263865E+07   0.245204E+04
   202   0.563344E+04   0.666945E+00  -0.130348E+02   0.262570E+07   0.243255E+04
   203   0.564458E+04   0.667711E+00  -0.117226E+02   0.261284E+07   0.241321E+04
   204   0.565512E+04   0.669411E+00  -0.103896E+02   0.260008E+07   0.239403E+04
   205   0.566503E+04   0.672081E+00  -0.903610E+01   0.258743E+07   0.237500E+04
   206   0.567432E+04   0.675757E+00  -0.766261E+01   0.257487E+07   0.235613E+04
   207   0.568297E+04   0.680478E+00  -0.626948E+01   0.256241E+07   0.233740E+04
   208   0.569098E+04   0.686279E+00  -0.485730E+01   0.255004E+07   0.231882E+04
   209   0.569837E+04   0.693196E+00  -0.342661E+01   0.253777E+07   0.230039E+04
   210   0.570513E+04   0.701266E+00  -0.197797E+01   0.252560E+07   0.228211E+04
   211   0.571128E+04   0.710528E+00  -0.511921E+00   0.251352E+07   0.226397E+04
   212   0.571681E+04   0.721016E+00   0.970974E+00   0.250153E+07   0.224597E+04
   213   0.572174E+04   0.732768E+00   0.247016E+01   0.248964E+07   0.222811E+04
   214   0.572607E+04   0.745821E+00   0.398508E+01   0.247783E+07   0.221040E+04
   215   0.572980E+04   0.760205E+00   0.551515E+01   0.246612E+07   0.219282E+04
   216   0.573291E+04   0.775964E+00   0.705977E+01   0.245450E+07   0.217539E+04
   217   0.573541E+04   0.793129E+00   0.861832E+01   0.244297E+07   0.215808E+04
   218   0.573729E+04   0.811730E+00   0.101903E+02   0.243152E+07   0.214092E+04
   219   0.573855E+04   0.831811E+00   0.117750E+02   0.242017E+07   0.212388E+04
   220   0.573918E+04   0.853402E+00   0.133720E+02   0.240890E+07   0.210698E+04
   221   0.573919E+04   0.876532E+00   0.149805E+02   0.239771E+07   0.209021E+04
   222   0.573856E+04   0.901245E+00   0.166000E+02   0.238661E+07   0.207357E+04
   223   0.573730E+04   0.927566E+00   0.182297E+02   0.237560E+07   0.205706E+04
   224   0.573541E+04   0.955529E+00   0.198691E+02   0.236467E+07   0.204067E+04
   225   0.573291E+04   0.985159E+00   0.215174E+02   0.235382E+07   0.202441E+04
   226   0.572977E+04   0.101650E+01   0.231741E+02   0.234305E+07   0.200827E+04
   227   0.572601E+04   0.104958E+01   0.248383E+02   0.233236E+07   0.199225E+04
   228   0.572163E+04   0.108442E+01   0.265096E+02   0.232175E+07   0.197636E+04
   229   0.571663E+04   0.112106E+01   0.281871E+02   0.231123E+07   0.196059E+04
   230   0.571100E+04   0.115953E+01   0.298703E+02   0.230078E+07   0.194493E+04
   231   0.570477E+04   0.119985E+01   0.315583E+02   0.229041E+07   0.192939E+04
   232   0.569792E+04   0.124204E+01   0.332506E+02   0.228011E+07   0.191396E+04
   233   0.569045E+04   0.128615E+01   0.349463E+02   0.226989E+07   0.189865E+04
   234   0.568237E+04   0.133219E+01   0.366447E+02   0.225975E+07   0.188346E+04
   235   0.567369E+04   0.138019E+01   0.383452E+02   0.224968E+07   0.186837E+04
   236   0.566440E+04   0.143018E+01   0.400471E+02   0.223968E+07   0.185339E+04
   237   0.565450E+04   0.148218E+01   0.417495E+02   0.222976E+07   0.183853E+04
   238   0.564401E+04   0.153620E+01   0.434519E+02   0.221990E+07   0.182377E+04
   239   0.563292E+04   0.159227E+01   0.451533E+02   0.221012E+07   0.180911E+04
   240   0.562124E+04   0.165042E+01   0.468531E+02   0.220041E+07   0.179456E+04
   241   0.560896E+04   0.171067E+01   0.485506E+02   0.219077E+07   0.178011E+04
   242   0.559611E+04   0.177302E+01   0.502450E+02   0.218119E+07   0.176577E+04
   243   0.558267E+04   0.183752E+01   0.519354E+02   0.217169E+07   0.175152E+04
   244   0.556866E+04   0.190416E+01   0.536214E+02   0.216225E+07   0.173737E+04
   245   0.555407E+04   0.197297E+01   0.553021E+02   0.215287E+07   0.172332E+04
   246   0.553894E+04   0.204395E+01   0.569768E+02   0.214357E+07   0.170937E+04
   247   0.552323E+04   0.211713E+01   0.586448E+02   0.213432E+07   0.169551E+04
   248   0.550699E+04   0.219253E+01   0.603053E+02   0.212514E+07   0.168174E+04
   249   0.549019E+04   0.227014E+01   0.619577E+02   0.211602E+07   0.166807E+04
   250   0.547286E+04   0.235000E+01   0.636011E+02   0.210697E+07   0.165449E+04
   251   0.545498E+04   0.243208E+01   0.652347E+02   0.209797E+07   0.164099E+04
   252   0.543657E+04   0.251642E+01   0.668578E+02   0.208904E+07   0.162759E+04
   253   0.541762E+04   0.260301E+01   0.684695E+02   0.208016E+07   0.161427E+04
   254   0.539815E+04   0.269187E+01   0.700691E+02   0.207134E+07   0.160104E+04
   255   0.537815E+04   0.278299E+01   0.716558E+02   0.206259E+07   0.158790E+04
   256   0.535762E+04   0.287638E+01   0.732288E+02   0.205389E+07   0.157485E+04
   257   0.533659E+04   0.297205E+01   0.747875E+02   0.204525E+07   0.156188E+04
   258   0.531505E+04   0.306998E+01   0.763309E+02   0.203667E+07   0.154899E+04
   259   0.529302E+04   0.317019E+01   0.778594E+02   0.202814E+07   0.153620E+04
   260   0.527053E+04   0.327268E+01   0.793708E+02   0.201968E+07   0.152349E+04
   261   0.524756E+04   0.337744E+01   0.808659E+02   0.201126E+07   0.151086E+04
   262   0.522415E+04   0.348447E+01   0.823430E+02   0.200291E+07   0.149832E+04
   263   0.520030E+04   0.359378E+01   0.838024E+02   0.199461E+07   0.148586E+04
   264   0.517602E+04   0.370535E+01   0.852424E+02   0.198636E+07   0.147349E+04
   265   0.515131E+04   0.381917E+01   0.866637E+02   0.197817E+07   0.146120E+04
   266   0.512617E+04   0.393524E+01   0.880643E+02   0.197003E+07   0.144899E+04
   267   0.510063E+04   0.405353E+01   0.894433E+02   0.196195E+07   0.143686E+04
   268   0.507468E+04   0.417404E+01   0.908015E+02   0.195392E+07   0.142482E+04
   269   0.504831E+04   0.429677E+01   0.921366E+02   0.194594E+07   0.141286E+04
   270   0.502155E+04   0.442168E+01   0.934494E+02   0.193802E+07   0.140098E+04
   271   0.499441E+04   0.454878E+01   0.947377E+02   0.193014E+07   0.138918E+04
   272   0.496688E+04   0.467805E+01   0.960022E+02   0.192232E+07   0.137746E+04
   273   0.493899E+04   0.480945E+01   0.972414E+02   0.191455E+07   0.136582E+04
   274   0.491074E+04   0.494297E+01   0.984561E+02   0.190683E+07   0.135426E+04
   275   0.488214E+04   0.507860E+01   0.996440E+02   0.189915E+07   0.134278E+04
   276   0.485322E+04   0.521631E+01   0.100806E+03   0.189153E+07   0.133138E+04
   277   0.482396E+04   0.535609E+01   0.101940E+03   0.188396E+07   0.132005E+04
   278   0.479439E+04   0.549791E+01   0.103046E+03   0.187643E+07   0.130880E+04
   279   0.476451E+04   0.564173E+01   0.104125E+03   0.186896E+07   0.129763E+04
   280   0.473435E+04   0.578752E+01   0.105175E+03   0.186153E+07   0.128654E+04
   281   0.470389E+04   0.593527E+01   0.106195E+03   0.185414E+07   0.127553E+04
   282   0.467316E+04   0.608494E+01   0.107186E+03   0.184681E+07   0.126459E+04
   283   0.464217E+04   0.623649E+01   0.108146E+03   0.183952E+07   0.125372E+04
   284   0.461092E+04   0.638991E+01   0.109076E+03   0.183227E+07   0.124293E+04
   285   0.457942E+04   0.654516E+01   0.109974E+03   0.182508E+07   0.123222E+04
   286   0.454769E+04   0.670219E+01   0.110840E+03   0.181792E+07   0.122158E+04
   287   0.451574E+04   0.686097E+01   0.111675E+03   0.181081E+07   0.121102E+04
   288   0.448357E+04   0.702147E+01   0.112476E+03   0.180375E+07   0.120052E+04
   289   0.445120E+04   0.718364E+01   0.113246E+03   0.179672E+07   0.119011E+04
   290   0.441865E+04   0.734746E+01   0.113981E+03   0.178974E+07   0.117976E+04
   291   0.438591E+04   0.751288E+01   0.114682E+03   0.178281E+07   0.116949E+04
   292   0.435300E+04   0.767979E+01   0.115350E+03   0.177591E+07   0.115928E+04
   293   0.431992E+04   0.784826E+01   0.115983E+03   0.176906E+07   0.114915E+04
   294   0.428670E+04   0.801820E+01   0.116581E+03   0.176225E+07   0.113910E+04
   295   0.425333E+04   0.818948E+01   0.117144E+03   0.175547E+07   0.112911E+04
   296   0.421982E+04   0.836217E+01   0.117671E+03   0.174874E+07   0.111919E+04
   297   0.418619E+04   0.853611E+01   0.118160E+03   0.174205E+07   0.110934E+04
   298   0.415244E+04   0.871131E+01   0.118614E+03   0.173540E+07   0.109956E+04
   299   0.411859E+04   0.888769E+01   0.119031E+03   0.172878E+07   0.108985E+04
   300   0.408464E+04   0.906519E+01   0.119411E+03   0.172221E+07   0.108021E+04
   301   0.405061E+04   0.924386E+01   0.119753E+03   0.171567E+07   0.107064E+04
   302   0.401652E+04   0.942350E+01   0.120059E+03   0.170917E+07   0.106113E+04
   303   0.398236E+04   0.960417E+01   0.120327E+03   0.170270E+07   0.105170E+04
   304   0.394817E+04   0.978580E+01   0.120558E+03   0.169628E+07   0.104232E+04
   305   0.391394E+04   0.996832E+01   0.120751E+03   0.168989E+07   0.103302E+04
   306   0.387968E+04   0.101517E+02   0.120907E+03   0.168354E+07   0.102378E+04
   307   0.384542E+04   0.103359E+02   0.121024E+03   0.167722E+07   0.101461E+04
   308   0.381116E+04   0.105208E+02   0.121104E+03   0.167094E+07   0.100551E+04
   309   0.377691E+04   0.107063E+02   0.121145E+03   0.166469E+07   0.996469E+03
   310   0.374266E+04   0.108924E+02   0.121149E+03   0.165848E+07   0.987495E+03
   311   0.370845E+04   0.110790E+02   0.121113E+03   0.165231E+07   0.978586E+03
   312   0.367428E+04   0.112661E+02   0.121040E+03   0.164617E+07   0.969742E+03
   313   0.364015E+04   0.114536E+02   0.120928E+03   0.164007E+07   0.960962E+03
   314   0.360609E+04   0.116415E+02   0.120777E+03   0.163399E+07   0.952246E+03
   315   0.357208E+04   0.118295E+02   0.120587E+03   0.162796E+07   0.943594E+03
   316   0.353816E+04   0.120179E+02   0.120359E+03   0.162196E+07   0.935005E+03
   317   0.350433E+04   0.122063E+02   0.120093E+03   0.161599E+07   0.926479E+03
