#    L    TT             EE             BB             TE          
   179   0.463966E+01   0.365798E-01   0.164496E-01   0.116101E+00
   180   0.471806E+01   0.356545E-01   0.161436E-01   0.122472E+00
   181   0.480280E+01   0.347464E-01   0.158510E-01   0.128152E+00
   182   0.489329E+01   0.338558E-01   0.155714E-01   0.133162E+00
   183   0.498893E+01   0.329833E-01   0.153047E-01   0.137525E+00
   184   0.508911E+01   0.321291E-01   0.150507E-01   0.141262E+00
   185   0.519324E+01   0.312938E-01   0.148090E-01   0.144396E+00
   186   0.530072E+01   0.304776E-01   0.145795E-01   0.146949E+00
   187   0.541094E+01   0.296811E-01   0.143618E-01   0.148942E+00
   188   0.552330E+01   0.289046E-01   0.141558E-01   0.150399E+00
   189   0.563721E+01   0.281485E-01   0.139612E-01   0.151340E+00
   190   0.575206E+01   0.274132E-01   0.137778E-01   0.151788E+00
   191   0.586725E+01   0.266991E-01   0.136053E-01   0.151764E+00
   192   0.598219E+01   0.260067E-01   0.134435E-01   0.151292E+00
   193   0.609626E+01   0.253363E-01   0.132921E-01   0.150393E+00
   194   0.620889E+01   0.246883E-01   0.131509E-01   0.149088E+00
   195   0.631945E+01   0.240632E-01   0.130197E-01   0.147401E+00
   196   0.642735E+01   0.234613E-01   0.128981E-01   0.145353E+00
   197   0.653200E+01   0.228831E-01   0.127861E-01   0.142966E+00
   198   0.663278E+01   0.223289E-01   0.126832E-01   0.140263E+00
   199   0.672911E+01   0.217992E-01   0.125894E-01   0.137264E+00
   200   0.682038E+01   0.212944E-01   0.125042E-01   0.133993E+00
   201   0.690610E+01   0.208147E-01   0.124276E-01   0.130469E+00
   202   0.698624E+01   0.203597E-01   0.123591E-01   0.126706E+00
   203   0.706089E+01   0.199291E-01   0.122987E-01   0.122714E+00
   204   0.713013E+01   0.195223E-01   0.122460E-01   0.118504E+00
   205   0.719405E+01   0.191388E-01   0.122007E-01   0.114086E+00
   206   0.725272E+01   0.187782E-01   0.121626E-01   0.109473E+00
   207   0.730624E+01   0.184400E-01   0.121315E-01   0.104675E+00
   208   0.735468E+01   0.181237E-01   0.121070E-01   0.997025E-01
   209   0.739812E+01   0.178288E-01   0.120889E-01   0.945667E-01
