#    L    TT             EE             BB             TE             PP             TP             EP          
    71   0.210519E+04   0.419062E+00   0.611901E-01  -0.904409E+01   0.120965E-06   0.542314E-03  -0.735510E-06
    72   0.212513E+04   0.433623E+00   0.617226E-01  -0.951574E+01   0.120284E-06   0.534230E-03  -0.722661E-06
    73   0.214544E+04   0.448368E+00   0.622236E-01  -0.999800E+01   0.119602E-06   0.526327E-03  -0.717877E-06
    74   0.216611E+04   0.463286E+00   0.626926E-01  -0.104908E+02   0.118919E-06   0.518580E-03  -0.722429E-06
    75   0.218711E+04   0.478365E+00   0.631297E-01  -0.109939E+02   0.118235E-06   0.510965E-03  -0.737589E-06
    76   0.220838E+04   0.493591E+00   0.635345E-01  -0.115066E+02   0.117551E-06   0.503465E-03  -0.763737E-06
    77   0.222980E+04   0.508957E+00   0.639069E-01  -0.120277E+02   0.116866E-06   0.496087E-03  -0.797704E-06
    78   0.225137E+04   0.524454E+00   0.642470E-01  -0.125569E+02   0.116182E-06   0.488845E-03  -0.835438E-06
    79   0.227318E+04   0.540076E+00   0.645545E-01  -0.130940E+02   0.115499E-06   0.481753E-03  -0.872890E-06
    80   0.229526E+04   0.555812E+00   0.648293E-01  -0.136391E+02   0.114817E-06   0.474824E-03  -0.906013E-06
    81   0.231765E+04   0.571655E+00   0.650716E-01  -0.141922E+02   0.114136E-06   0.468071E-03  -0.931679E-06
    82   0.234037E+04   0.587588E+00   0.652814E-01  -0.147528E+02   0.113456E-06   0.461497E-03  -0.950410E-06
    83   0.236339E+04   0.603593E+00   0.654593E-01  -0.153204E+02   0.112778E-06   0.455104E-03  -0.963637E-06
    84   0.238673E+04   0.619650E+00   0.656057E-01  -0.158946E+02   0.112102E-06   0.448893E-03  -0.972792E-06
    85   0.241037E+04   0.635741E+00   0.657208E-01  -0.164750E+02   0.111427E-06   0.442868E-03  -0.979304E-06
    86   0.243431E+04   0.651850E+00   0.658051E-01  -0.170610E+02   0.110754E-06   0.437026E-03  -0.984385E-06
    87   0.245852E+04   0.667967E+00   0.658585E-01  -0.176522E+02   0.110083E-06   0.431352E-03  -0.988378E-06
    88   0.248298E+04   0.684083E+00   0.658809E-01  -0.182482E+02   0.109414E-06   0.425827E-03  -0.991408E-06
    89   0.250769E+04   0.700188E+00   0.658723E-01  -0.188486E+02   0.108748E-06   0.420432E-03  -0.993601E-06
    90   0.253266E+04   0.716271E+00   0.658325E-01  -0.194534E+02   0.108084E-06   0.415149E-03  -0.995083E-06
    91   0.255789E+04   0.732321E+00   0.657617E-01  -0.200619E+02   0.107424E-06   0.409962E-03  -0.995971E-06
    92   0.258338E+04   0.748324E+00   0.656603E-01  -0.206742E+02   0.106766E-06   0.404866E-03  -0.996352E-06
    93   0.260916E+04   0.764264E+00   0.655290E-01  -0.212897E+02   0.106112E-06   0.399861E-03  -0.996303E-06
    94   0.263520E+04   0.780129E+00   0.653684E-01  -0.219082E+02   0.105461E-06   0.394945E-03  -0.995903E-06
    95   0.266153E+04   0.795902E+00   0.651793E-01  -0.225293E+02   0.104813E-06   0.390115E-03  -0.995231E-06
    96   0.268815E+04   0.811571E+00   0.649622E-01  -0.231526E+02   0.104168E-06   0.385372E-03  -0.994365E-06
    97   0.271504E+04   0.827118E+00   0.647179E-01  -0.237776E+02   0.103527E-06   0.380714E-03  -0.993383E-06
    98   0.274223E+04   0.842529E+00   0.644469E-01  -0.244039E+02   0.102889E-06   0.376139E-03  -0.992363E-06
    99   0.276968E+04   0.857790E+00   0.641499E-01  -0.250312E+02   0.102254E-06   0.371645E-03  -0.991384E-06
   100   0.279741E+04   0.872887E+00   0.638276E-01  -0.256589E+02   0.101623E-06   0.367233E-03  -0.990523E-06
   101   0.282542E+04   0.887807E+00   0.634806E-01  -0.262864E+02   0.100996E-06   0.362899E-03  -0.989859E-06
   102   0.285371E+04   0.902526E+00   0.631096E-01  -0.269137E+02   0.100372E-06   0.358643E-03  -0.989469E-06
   103   0.288226E+04   0.917044E+00   0.627152E-01  -0.275399E+02   0.997514E-07   0.354464E-03  -0.989433E-06
   104   0.291107E+04   0.931331E+00   0.622981E-01  -0.281647E+02   0.991347E-07   0.350360E-03  -0.989826E-06
   105   0.294014E+04   0.945380E+00   0.618589E-01  -0.287875E+02   0.985219E-07   0.346329E-03  -0.990728E-06
   106   0.296945E+04   0.959176E+00   0.613984E-01  -0.294077E+02   0.979128E-07   0.342371E-03  -0.992217E-06
   107   0.299901E+04   0.972711E+00   0.609170E-01  -0.300249E+02   0.973075E-07   0.338485E-03  -0.994369E-06
   108   0.302879E+04   0.985962E+00   0.604156E-01  -0.306386E+02   0.967062E-07   0.334668E-03  -0.997263E-06
   109   0.305881E+04   0.998921E+00   0.598947E-01  -0.312481E+02   0.961089E-07   0.330919E-03  -0.100098E-05
   110   0.308905E+04   0.101157E+01   0.593550E-01  -0.318530E+02   0.955156E-07   0.327238E-03  -0.100559E-05
