#    L    TT             EE             BB             TE          
   254   0.538621E+04   0.273510E+01   0.232135E-01   0.698180E+02
   255   0.536618E+04   0.282636E+01   0.233878E-01   0.713906E+02
   256   0.534564E+04   0.291988E+01   0.235619E-01   0.729493E+02
   257   0.532459E+04   0.301564E+01   0.237358E-01   0.744937E+02
   258   0.530305E+04   0.311366E+01   0.239095E-01   0.760225E+02
   259   0.528102E+04   0.321393E+01   0.240830E-01   0.775364E+02
   260   0.525853E+04   0.331645E+01   0.242562E-01   0.790330E+02
   261   0.523557E+04   0.342123E+01   0.244292E-01   0.805132E+02
   262   0.521217E+04   0.352825E+01   0.246018E-01   0.819754E+02
   263   0.518834E+04   0.363753E+01   0.247741E-01   0.834196E+02
   264   0.516408E+04   0.374904E+01   0.249461E-01   0.848444E+02
   265   0.513939E+04   0.386278E+01   0.251178E-01   0.862505E+02
   266   0.511429E+04   0.397874E+01   0.252891E-01   0.876357E+02
   267   0.508878E+04   0.409690E+01   0.254600E-01   0.889993E+02
   268   0.506287E+04   0.421726E+01   0.256306E-01   0.903420E+02
   269   0.503655E+04   0.433980E+01   0.258007E-01   0.916615E+02
   270   0.500984E+04   0.446450E+01   0.259704E-01   0.929587E+02
   271   0.498275E+04   0.459136E+01   0.261397E-01   0.942314E+02
   272   0.495529E+04   0.472036E+01   0.263085E-01   0.954802E+02
   273   0.492747E+04   0.485146E+01   0.264768E-01   0.967037E+02
   274   0.489929E+04   0.498466E+01   0.266447E-01   0.979026E+02
   275   0.487077E+04   0.511993E+01   0.268121E-01   0.990748E+02
   276   0.484192E+04   0.525726E+01   0.269789E-01   0.100221E+03
   277   0.481276E+04   0.539662E+01   0.271453E-01   0.101340E+03
   278   0.478328E+04   0.553799E+01   0.273111E-01   0.102430E+03
   279   0.475350E+04   0.568134E+01   0.274763E-01   0.103493E+03
   280   0.472343E+04   0.582662E+01   0.276410E-01   0.104527E+03
   281   0.469309E+04   0.597383E+01   0.278051E-01   0.105532E+03
   282   0.466247E+04   0.612293E+01   0.279687E-01   0.106507E+03
   283   0.463160E+04   0.627388E+01   0.281316E-01   0.107452E+03
   284   0.460047E+04   0.642666E+01   0.282939E-01   0.108366E+03
   285   0.456910E+04   0.658123E+01   0.284557E-01   0.109249E+03
   286   0.453750E+04   0.673757E+01   0.286168E-01   0.110100E+03
   287   0.450569E+04   0.689561E+01   0.287772E-01   0.110920E+03
   288   0.447367E+04   0.705533E+01   0.289371E-01   0.111706E+03
   289   0.444145E+04   0.721670E+01   0.290963E-01   0.112461E+03
   290   0.440904E+04   0.737967E+01   0.292548E-01   0.113181E+03
   291   0.437647E+04   0.754422E+01   0.294126E-01   0.113868E+03
   292   0.434372E+04   0.771022E+01   0.295698E-01   0.114521E+03
   293   0.431081E+04   0.787774E+01   0.297264E-01   0.115140E+03
   294   0.427776E+04   0.804671E+01   0.298822E-01   0.115724E+03
   295   0.424457E+04   0.821697E+01   0.300373E-01   0.116273E+03
   296   0.421124E+04   0.838861E+01   0.301918E-01   0.116786E+03
   297   0.417779E+04   0.856147E+01   0.303455E-01   0.117262E+03
   298   0.414424E+04   0.873555E+01   0.304986E-01   0.117702E+03
   299   0.411058E+04   0.891078E+01   0.306509E-01   0.118106E+03
   300   0.407683E+04   0.908709E+01   0.308026E-01   0.118473E+03
   301   0.404301E+04   0.926454E+01   0.309535E-01   0.118804E+03
   302   0.400913E+04   0.944292E+01   0.311038E-01   0.119097E+03
   303   0.397519E+04   0.962230E+01   0.312533E-01   0.119353E+03
   304   0.394121E+04   0.980261E+01   0.314021E-01   0.119572E+03
   305   0.390720E+04   0.998376E+01   0.315501E-01   0.119754E+03
   306   0.387317E+04   0.101658E+02   0.316975E-01   0.119898E+03
   307   0.383914E+04   0.103485E+02   0.318442E-01   0.120005E+03
   308   0.380511E+04   0.105319E+02   0.319901E-01   0.120074E+03
   309   0.377110E+04   0.107159E+02   0.321353E-01   0.120105E+03
