#    L    TT             EE             BB             TE          
   138   0.399868E+04   0.120313E+01   0.460015E-01  -0.447953E+02
   139   0.403202E+04   0.120290E+01   0.453479E-01  -0.450493E+02
   140   0.406535E+04   0.120217E+01   0.446984E-01  -0.452844E+02
   141   0.409864E+04   0.120094E+01   0.440537E-01  -0.455002E+02
   142   0.413188E+04   0.119920E+01   0.434144E-01  -0.456963E+02
   143   0.416508E+04   0.119697E+01   0.427812E-01  -0.458723E+02
   144   0.419822E+04   0.119424E+01   0.421546E-01  -0.460279E+02
   145   0.423128E+04   0.119101E+01   0.415353E-01  -0.461625E+02
   146   0.426425E+04   0.118731E+01   0.409238E-01  -0.462759E+02
   147   0.429712E+04   0.118313E+01   0.403208E-01  -0.463677E+02
   148   0.432986E+04   0.117848E+01   0.397270E-01  -0.464375E+02
   149   0.436246E+04   0.117337E+01   0.391429E-01  -0.464849E+02
   150   0.439491E+04   0.116780E+01   0.385691E-01  -0.465095E+02
   151   0.442719E+04   0.116178E+01   0.380062E-01  -0.465109E+02
   152   0.445930E+04   0.115533E+01   0.374544E-01  -0.464891E+02
   153   0.449123E+04   0.114845E+01   0.369140E-01  -0.464435E+02
   154   0.452296E+04   0.114117E+01   0.363851E-01  -0.463741E+02
   155   0.455450E+04   0.113349E+01   0.358679E-01  -0.462805E+02
   156   0.458586E+04   0.112542E+01   0.353626E-01  -0.461625E+02
   157   0.461699E+04   0.111697E+01   0.348693E-01  -0.460199E+02
   158   0.464792E+04   0.110817E+01   0.343883E-01  -0.458524E+02
   159   0.467862E+04   0.109902E+01   0.339198E-01  -0.456597E+02
   160   0.470909E+04   0.108954E+01   0.334639E-01  -0.454419E+02
   161   0.473930E+04   0.107976E+01   0.330208E-01  -0.451984E+02
   162   0.476925E+04   0.106968E+01   0.325908E-01  -0.449294E+02
   163   0.479892E+04   0.105933E+01   0.321739E-01  -0.446343E+02
   164   0.482829E+04   0.104873E+01   0.317704E-01  -0.443132E+02
   165   0.485735E+04   0.103788E+01   0.313805E-01  -0.439658E+02
   166   0.488610E+04   0.102682E+01   0.310043E-01  -0.435920E+02
   167   0.491452E+04   0.101556E+01   0.306420E-01  -0.431917E+02
   168   0.494261E+04   0.100413E+01   0.302938E-01  -0.427649E+02
   169   0.497035E+04   0.992561E+00   0.299599E-01  -0.423115E+02
   170   0.499774E+04   0.980856E+00   0.296405E-01  -0.418315E+02
