#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    72   0.191367E+04  -0.663073E+01   0.534230E-03  -0.663073E+01   0.354147E+00  -0.722653E-06   0.534230E-03  -0.722653E-06   0.120284E-06
    73   0.193852E+04  -0.710295E+01   0.526327E-03  -0.710295E+01   0.367772E+00  -0.717874E-06   0.526327E-03  -0.717874E-06   0.119602E-06
    74   0.196371E+04  -0.758771E+01   0.518580E-03  -0.758771E+01   0.381596E+00  -0.722430E-06   0.518580E-03  -0.722430E-06   0.118919E-06
    75   0.198920E+04  -0.808457E+01   0.510965E-03  -0.808457E+01   0.395605E+00  -0.737589E-06   0.510965E-03  -0.737589E-06   0.118235E-06
    76   0.201495E+04  -0.859303E+01   0.503465E-03  -0.859303E+01   0.409787E+00  -0.763729E-06   0.503465E-03  -0.763729E-06   0.117551E-06
    77   0.204082E+04  -0.911173E+01   0.496087E-03  -0.911173E+01   0.424134E+00  -0.797690E-06   0.496087E-03  -0.797690E-06   0.116866E-06
    78   0.206682E+04  -0.964036E+01   0.488845E-03  -0.964036E+01   0.438641E+00  -0.835423E-06   0.488845E-03  -0.835423E-06   0.116182E-06
    79   0.209302E+04  -0.101789E+02   0.481753E-03  -0.101789E+02   0.453299E+00  -0.872880E-06   0.481753E-03  -0.872880E-06   0.115499E-06
    80   0.211946E+04  -0.107274E+02   0.474824E-03  -0.107274E+02   0.468104E+00  -0.906013E-06   0.474824E-03  -0.906013E-06   0.114817E-06
    81   0.214617E+04  -0.112859E+02   0.468071E-03  -0.112859E+02   0.483047E+00  -0.931687E-06   0.468071E-03  -0.931687E-06   0.114136E-06
    82   0.217318E+04  -0.118538E+02   0.461497E-03  -0.118538E+02   0.498113E+00  -0.950421E-06   0.461497E-03  -0.950421E-06   0.113456E-06
    83   0.220046E+04  -0.124307E+02   0.455103E-03  -0.124307E+02   0.513286E+00  -0.963647E-06   0.455103E-03  -0.963647E-06   0.112778E-06
    84   0.222801E+04  -0.130162E+02   0.448893E-03  -0.130162E+02   0.528550E+00  -0.972797E-06   0.448893E-03  -0.972797E-06   0.112102E-06
    85   0.225582E+04  -0.136098E+02   0.442868E-03  -0.136098E+02   0.543887E+00  -0.979304E-06   0.442868E-03  -0.979304E-06   0.111427E-06
    86   0.228389E+04  -0.142110E+02   0.437026E-03  -0.142110E+02   0.559284E+00  -0.984381E-06   0.437026E-03  -0.984381E-06   0.110754E-06
    87   0.231218E+04  -0.148193E+02   0.431352E-03  -0.148193E+02   0.574728E+00  -0.988372E-06   0.431352E-03  -0.988372E-06   0.110083E-06
    88   0.234067E+04  -0.154342E+02   0.425827E-03  -0.154342E+02   0.590211E+00  -0.991403E-06   0.425827E-03  -0.991403E-06   0.109414E-06
    89   0.236936E+04  -0.160552E+02   0.420432E-03  -0.160552E+02   0.605721E+00  -0.993598E-06   0.420432E-03  -0.993598E-06   0.108748E-06
    90   0.239826E+04  -0.166821E+02   0.415149E-03  -0.166821E+02   0.621245E+00  -0.995083E-06   0.415149E-03  -0.995083E-06   0.108084E-06
    91   0.242736E+04  -0.173143E+02   0.409962E-03  -0.173143E+02   0.636772E+00  -0.995976E-06   0.409962E-03  -0.995976E-06   0.107424E-06
    92   0.245667E+04  -0.179517E+02   0.404866E-03  -0.179517E+02   0.652286E+00  -0.996363E-06   0.404866E-03  -0.996363E-06   0.106766E-06
    93   0.248621E+04  -0.185936E+02   0.399860E-03  -0.185936E+02   0.667773E+00  -0.996321E-06   0.399860E-03  -0.996321E-06   0.106112E-06
    94   0.251596E+04  -0.192400E+02   0.394943E-03  -0.192400E+02   0.683221E+00  -0.995928E-06   0.394943E-03  -0.995928E-06   0.105461E-06
    95   0.254595E+04  -0.198903E+02   0.390114E-03  -0.198903E+02   0.698612E+00  -0.995262E-06   0.390114E-03  -0.995262E-06   0.104813E-06
    96   0.257615E+04  -0.205439E+02   0.385370E-03  -0.205439E+02   0.713935E+00  -0.994403E-06   0.385370E-03  -0.994403E-06   0.104168E-06
    97   0.260658E+04  -0.212005E+02   0.380711E-03  -0.212005E+02   0.729173E+00  -0.993426E-06   0.380711E-03  -0.993426E-06   0.103526E-06
    98   0.263724E+04  -0.218596E+02   0.376136E-03  -0.218596E+02   0.744310E+00  -0.992411E-06   0.376136E-03  -0.992411E-06   0.102888E-06
    99   0.266810E+04  -0.225207E+02   0.371642E-03  -0.225207E+02   0.759333E+00  -0.991434E-06   0.371642E-03  -0.991434E-06   0.102254E-06
   100   0.269919E+04  -0.231833E+02   0.367229E-03  -0.231833E+02   0.774230E+00  -0.990576E-06   0.367229E-03  -0.990576E-06   0.101623E-06
   101   0.273050E+04  -0.238468E+02   0.362896E-03  -0.238468E+02   0.788986E+00  -0.989912E-06   0.362896E-03  -0.989912E-06   0.100995E-06
   102   0.276201E+04  -0.245110E+02   0.358640E-03  -0.245110E+02   0.803578E+00  -0.989522E-06   0.358640E-03  -0.989522E-06   0.100371E-06
   103   0.279373E+04  -0.251750E+02   0.354461E-03  -0.251750E+02   0.818007E+00  -0.989483E-06   0.354461E-03  -0.989483E-06   0.997509E-07
   104   0.282564E+04  -0.258384E+02   0.350357E-03  -0.258384E+02   0.832242E+00  -0.989872E-06   0.350357E-03  -0.989872E-06   0.991343E-07
   105   0.285775E+04  -0.265006E+02   0.346327E-03  -0.265006E+02   0.846276E+00  -0.990769E-06   0.346327E-03  -0.990769E-06   0.985215E-07
   106   0.289004E+04  -0.271611E+02   0.342370E-03  -0.271611E+02   0.860094E+00  -0.992251E-06   0.342370E-03  -0.992251E-06   0.979125E-07
   107   0.292251E+04  -0.278192E+02   0.338483E-03  -0.278192E+02   0.873689E+00  -0.994396E-06   0.338483E-03  -0.994396E-06   0.973074E-07
   108   0.295514E+04  -0.284745E+02   0.334667E-03  -0.284745E+02   0.887038E+00  -0.997283E-06   0.334667E-03  -0.997283E-06   0.967061E-07
