#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
  2647   0.590116E+02  -0.522895E+01   0.287668E-06  -0.522895E+01   0.219529E+01  -0.102101E-07   0.287668E-06  -0.102101E-07   0.125580E-08
  2648   0.590025E+02  -0.521127E+01   0.287226E-06  -0.521127E+01   0.217849E+01  -0.100564E-07   0.287226E-06  -0.100564E-07   0.125493E-08
  2649   0.589923E+02  -0.519283E+01   0.286782E-06  -0.519283E+01   0.216172E+01  -0.990227E-08   0.286782E-06  -0.990227E-08   0.125406E-08
  2650   0.589807E+02  -0.517365E+01   0.286337E-06  -0.517365E+01   0.214499E+01  -0.974768E-08   0.286337E-06  -0.974768E-08   0.125319E-08
  2651   0.589678E+02  -0.515373E+01   0.285890E-06  -0.515373E+01   0.212829E+01  -0.959265E-08   0.285890E-06  -0.959265E-08   0.125232E-08
  2652   0.589535E+02  -0.513309E+01   0.285441E-06  -0.513309E+01   0.211164E+01  -0.943722E-08   0.285441E-06  -0.943722E-08   0.125146E-08
  2653   0.589377E+02  -0.511172E+01   0.284991E-06  -0.511172E+01   0.209503E+01  -0.928139E-08   0.284991E-06  -0.928139E-08   0.125059E-08
  2654   0.589205E+02  -0.508963E+01   0.284538E-06  -0.508963E+01   0.207847E+01  -0.912519E-08   0.284538E-06  -0.912519E-08   0.124972E-08
  2655   0.589017E+02  -0.506684E+01   0.284083E-06  -0.506684E+01   0.206197E+01  -0.896864E-08   0.284083E-06  -0.896864E-08   0.124886E-08
  2656   0.588814E+02  -0.504334E+01   0.283626E-06  -0.504334E+01   0.204553E+01  -0.881175E-08   0.283626E-06  -0.881175E-08   0.124799E-08
  2657   0.588595E+02  -0.501916E+01   0.283166E-06  -0.501916E+01   0.202915E+01  -0.865454E-08   0.283166E-06  -0.865454E-08   0.124713E-08
  2658   0.588359E+02  -0.499429E+01   0.282703E-06  -0.499429E+01   0.201284E+01  -0.849703E-08   0.282703E-06  -0.849703E-08   0.124627E-08
  2659   0.588106E+02  -0.496876E+01   0.282237E-06  -0.496876E+01   0.199660E+01  -0.833925E-08   0.282237E-06  -0.833925E-08   0.124541E-08
  2660   0.587837E+02  -0.494257E+01   0.281768E-06  -0.494257E+01   0.198045E+01  -0.818120E-08   0.281768E-06  -0.818120E-08   0.124454E-08
  2661   0.587551E+02  -0.491574E+01   0.281295E-06  -0.491574E+01   0.196438E+01  -0.802291E-08   0.281295E-06  -0.802291E-08   0.124368E-08
  2662   0.587247E+02  -0.488826E+01   0.280818E-06  -0.488826E+01   0.194839E+01  -0.786440E-08   0.280818E-06  -0.786440E-08   0.124283E-08
  2663   0.586927E+02  -0.486017E+01   0.280337E-06  -0.486017E+01   0.193249E+01  -0.770568E-08   0.280337E-06  -0.770568E-08   0.124197E-08
  2664   0.586589E+02  -0.483147E+01   0.279852E-06  -0.483147E+01   0.191669E+01  -0.754678E-08   0.279852E-06  -0.754678E-08   0.124111E-08
  2665   0.586232E+02  -0.480217E+01   0.279363E-06  -0.480217E+01   0.190099E+01  -0.738771E-08   0.279363E-06  -0.738771E-08   0.124025E-08
  2666   0.585857E+02  -0.477227E+01   0.278869E-06  -0.477227E+01   0.188540E+01  -0.722849E-08   0.278869E-06  -0.722849E-08   0.123940E-08
  2667   0.585464E+02  -0.474181E+01   0.278370E-06  -0.474181E+01   0.186991E+01  -0.706915E-08   0.278370E-06  -0.706915E-08   0.123854E-08
  2668   0.585052E+02  -0.471077E+01   0.277866E-06  -0.471077E+01   0.185453E+01  -0.690969E-08   0.277866E-06  -0.690969E-08   0.123769E-08
  2669   0.584621E+02  -0.467919E+01   0.277357E-06  -0.467919E+01   0.183928E+01  -0.675014E-08   0.277357E-06  -0.675014E-08   0.123683E-08
  2670   0.584171E+02  -0.464705E+01   0.276842E-06  -0.464705E+01   0.182413E+01  -0.659051E-08   0.276842E-06  -0.659051E-08   0.123598E-08
  2671   0.583701E+02  -0.461438E+01   0.276321E-06  -0.461438E+01   0.180911E+01  -0.643083E-08   0.276321E-06  -0.643083E-08   0.123513E-08
  2672   0.583212E+02  -0.458120E+01   0.275795E-06  -0.458120E+01   0.179422E+01  -0.627111E-08   0.275795E-06  -0.627111E-08   0.123428E-08
  2673   0.582703E+02  -0.454750E+01   0.275263E-06  -0.454750E+01   0.177946E+01  -0.611138E-08   0.275263E-06  -0.611138E-08   0.123343E-08
  2674   0.582174E+02  -0.451332E+01   0.274724E-06  -0.451332E+01   0.176483E+01  -0.595165E-08   0.274724E-06  -0.595165E-08   0.123258E-08
  2675   0.581625E+02  -0.447865E+01   0.274178E-06  -0.447865E+01   0.175033E+01  -0.579194E-08   0.274178E-06  -0.579194E-08   0.123173E-08
  2676   0.581055E+02  -0.444352E+01   0.273626E-06  -0.444352E+01   0.173597E+01  -0.563226E-08   0.273626E-06  -0.563226E-08   0.123088E-08
  2677   0.580465E+02  -0.440794E+01   0.273067E-06  -0.440794E+01   0.172177E+01  -0.547265E-08   0.273067E-06  -0.547265E-08   0.123003E-08
  2678   0.579855E+02  -0.437191E+01   0.272501E-06  -0.437191E+01   0.170770E+01  -0.531311E-08   0.272501E-06  -0.531311E-08   0.122919E-08
  2679   0.579225E+02  -0.433546E+01   0.271927E-06  -0.433546E+01   0.169378E+01  -0.515366E-08   0.271927E-06  -0.515366E-08   0.122834E-08
  2680   0.578573E+02  -0.429860E+01   0.271346E-06  -0.429860E+01   0.168002E+01  -0.499433E-08   0.271346E-06  -0.499433E-08   0.122750E-08
  2681   0.577901E+02  -0.426133E+01   0.270757E-06  -0.426133E+01   0.166642E+01  -0.483513E-08   0.270757E-06  -0.483513E-08   0.122665E-08
  2682   0.577207E+02  -0.422367E+01   0.270159E-06  -0.422367E+01   0.165297E+01  -0.467608E-08   0.270159E-06  -0.467608E-08   0.122581E-08
  2683   0.576492E+02  -0.418565E+01   0.269554E-06  -0.418565E+01   0.163968E+01  -0.451720E-08   0.269554E-06  -0.451720E-08   0.122497E-08
  2684   0.575756E+02  -0.414727E+01   0.268940E-06  -0.414727E+01   0.162656E+01  -0.435851E-08   0.268940E-06  -0.435851E-08   0.122413E-08
  2685   0.574999E+02  -0.410853E+01   0.268317E-06  -0.410853E+01   0.161361E+01  -0.420003E-08   0.268317E-06  -0.420003E-08   0.122329E-08
  2686   0.574220E+02  -0.406947E+01   0.267686E-06  -0.406947E+01   0.160083E+01  -0.404177E-08   0.267686E-06  -0.404177E-08   0.122245E-08
  2687   0.573420E+02  -0.403009E+01   0.267045E-06  -0.403009E+01   0.158822E+01  -0.388375E-08   0.267045E-06  -0.388375E-08   0.122161E-08
  2688   0.572598E+02  -0.399041E+01   0.266395E-06  -0.399041E+01   0.157578E+01  -0.372600E-08   0.266395E-06  -0.372600E-08   0.122077E-08
  2689   0.571755E+02  -0.395043E+01   0.265736E-06  -0.395043E+01   0.156352E+01  -0.356854E-08   0.265736E-06  -0.356854E-08   0.121993E-08
  2690   0.570891E+02  -0.391019E+01   0.265066E-06  -0.391019E+01   0.155144E+01  -0.341137E-08   0.265066E-06  -0.341137E-08   0.121910E-08
  2691   0.570006E+02  -0.386970E+01   0.264387E-06  -0.386970E+01   0.153955E+01  -0.325452E-08   0.264387E-06  -0.325452E-08   0.121826E-08
  2692   0.569099E+02  -0.382896E+01   0.263698E-06  -0.382896E+01   0.152784E+01  -0.309801E-08   0.263698E-06  -0.309801E-08   0.121743E-08
  2693   0.568171E+02  -0.378799E+01   0.262998E-06  -0.378799E+01   0.151632E+01  -0.294186E-08   0.262998E-06  -0.294186E-08   0.121659E-08
  2694   0.567222E+02  -0.374681E+01   0.262288E-06  -0.374681E+01   0.150499E+01  -0.278608E-08   0.262288E-06  -0.278608E-08   0.121576E-08
  2695   0.566251E+02  -0.370543E+01   0.261567E-06  -0.370543E+01   0.149384E+01  -0.263070E-08   0.261567E-06  -0.263070E-08   0.121493E-08
  2696   0.565259E+02  -0.366386E+01   0.260834E-06  -0.366386E+01   0.148289E+01  -0.247573E-08   0.260834E-06  -0.247573E-08   0.121410E-08
  2697   0.564246E+02  -0.362212E+01   0.260091E-06  -0.362212E+01   0.147214E+01  -0.232119E-08   0.260091E-06  -0.232119E-08   0.121326E-08
  2698   0.563212E+02  -0.358022E+01   0.259336E-06  -0.358022E+01   0.146159E+01  -0.216710E-08   0.259336E-06  -0.216710E-08   0.121243E-08
  2699   0.562156E+02  -0.353817E+01   0.258569E-06  -0.353817E+01   0.145122E+01  -0.201349E-08   0.258569E-06  -0.201349E-08   0.121161E-08
  2700   0.561079E+02  -0.349600E+01   0.257791E-06  -0.349600E+01   0.144106E+01  -0.186036E-08   0.257791E-06  -0.186036E-08   0.121078E-08
  2701   0.559981E+02  -0.345371E+01   0.257000E-06  -0.345371E+01   0.143110E+01  -0.170773E-08   0.257000E-06  -0.170773E-08   0.120995E-08
  2702   0.558862E+02  -0.341132E+01   0.256198E-06  -0.341132E+01   0.142134E+01  -0.155562E-08   0.256198E-06  -0.155562E-08   0.120912E-08
  2703   0.557722E+02  -0.336884E+01   0.255385E-06  -0.336884E+01   0.141179E+01  -0.140404E-08   0.255385E-06  -0.140404E-08   0.120830E-08
  2704   0.556560E+02  -0.332628E+01   0.254561E-06  -0.332628E+01   0.140244E+01  -0.125301E-08   0.254561E-06  -0.125301E-08   0.120747E-08
  2705   0.555378E+02  -0.328367E+01   0.253727E-06  -0.328367E+01   0.139330E+01  -0.110252E-08   0.253727E-06  -0.110252E-08   0.120665E-08
  2706   0.554175E+02  -0.324101E+01   0.252883E-06  -0.324101E+01   0.138435E+01  -0.952589E-09   0.252883E-06  -0.952589E-09   0.120582E-08
  2707   0.552951E+02  -0.319832E+01   0.252029E-06  -0.319832E+01   0.137563E+01  -0.803234E-09   0.252029E-06  -0.803234E-09   0.120500E-08
  2708   0.551707E+02  -0.315562E+01   0.251167E-06  -0.315562E+01   0.136711E+01  -0.654462E-09   0.251167E-06  -0.654462E-09   0.120418E-08
  2709   0.550442E+02  -0.311290E+01   0.250296E-06  -0.311290E+01   0.135879E+01  -0.506284E-09   0.250296E-06  -0.506284E-09   0.120336E-08
  2710   0.549157E+02  -0.307020E+01   0.249417E-06  -0.307020E+01   0.135069E+01  -0.358712E-09   0.249417E-06  -0.358712E-09   0.120254E-08
  2711   0.547851E+02  -0.302752E+01   0.248530E-06  -0.302752E+01   0.134280E+01  -0.211755E-09   0.248530E-06  -0.211755E-09   0.120172E-08
  2712   0.546527E+02  -0.298489E+01   0.247637E-06  -0.298489E+01   0.133512E+01  -0.654256E-10   0.247637E-06  -0.654256E-10   0.120090E-08
  2713   0.545182E+02  -0.294230E+01   0.246737E-06  -0.294230E+01   0.132765E+01   0.802657E-10   0.246737E-06   0.802657E-10   0.120008E-08
  2714   0.543818E+02  -0.289978E+01   0.245830E-06  -0.289978E+01   0.132039E+01   0.225308E-09   0.245830E-06   0.225308E-09   0.119926E-08
  2715   0.542434E+02  -0.285734E+01   0.244918E-06  -0.285734E+01   0.131335E+01   0.369691E-09   0.244918E-06   0.369691E-09   0.119844E-08
  2716   0.541031E+02  -0.281499E+01   0.244000E-06  -0.281499E+01   0.130651E+01   0.513402E-09   0.244000E-06   0.513402E-09   0.119763E-08
  2717   0.539608E+02  -0.277274E+01   0.243078E-06  -0.277274E+01   0.129990E+01   0.656432E-09   0.243078E-06   0.656432E-09   0.119681E-08
  2718   0.538166E+02  -0.273060E+01   0.242151E-06  -0.273060E+01   0.129349E+01   0.798769E-09   0.242151E-06   0.798769E-09   0.119600E-08
  2719   0.536706E+02  -0.268860E+01   0.241221E-06  -0.268860E+01   0.128729E+01   0.940403E-09   0.241221E-06   0.940403E-09   0.119519E-08
  2720   0.535227E+02  -0.264674E+01   0.240286E-06  -0.264674E+01   0.128130E+01   0.108132E-08   0.240286E-06   0.108132E-08   0.119437E-08
  2721   0.533729E+02  -0.260503E+01   0.239349E-06  -0.260503E+01   0.127553E+01   0.122152E-08   0.239349E-06   0.122152E-08   0.119356E-08
  2722   0.532213E+02  -0.256349E+01   0.238409E-06  -0.256349E+01   0.126997E+01   0.136097E-08   0.238409E-06   0.136097E-08   0.119275E-08
  2723   0.530679E+02  -0.252213E+01   0.237467E-06  -0.252213E+01   0.126461E+01   0.149968E-08   0.237467E-06   0.149968E-08   0.119194E-08
  2724   0.529128E+02  -0.248097E+01   0.236524E-06  -0.248097E+01   0.125948E+01   0.163763E-08   0.236524E-06   0.163763E-08   0.119113E-08
  2725   0.527560E+02  -0.244001E+01   0.235579E-06  -0.244001E+01   0.125455E+01   0.177481E-08   0.235579E-06   0.177481E-08   0.119032E-08
  2726   0.525975E+02  -0.239926E+01   0.234633E-06  -0.239926E+01   0.124982E+01   0.191121E-08   0.234633E-06   0.191121E-08   0.118951E-08
  2727   0.524374E+02  -0.235876E+01   0.233687E-06  -0.235876E+01   0.124531E+01   0.204682E-08   0.233687E-06   0.204682E-08   0.118871E-08
  2728   0.522757E+02  -0.231849E+01   0.232741E-06  -0.231849E+01   0.124100E+01   0.218163E-08   0.232741E-06   0.218163E-08   0.118790E-08
  2729   0.521124E+02  -0.227848E+01   0.231796E-06  -0.227848E+01   0.123690E+01   0.231563E-08   0.231796E-06   0.231563E-08   0.118709E-08
  2730   0.519476E+02  -0.223873E+01   0.230852E-06  -0.223873E+01   0.123301E+01   0.244880E-08   0.230852E-06   0.244880E-08   0.118629E-08
  2731   0.517812E+02  -0.219926E+01   0.229909E-06  -0.219926E+01   0.122933E+01   0.258113E-08   0.229909E-06   0.258113E-08   0.118548E-08
  2732   0.516133E+02  -0.216008E+01   0.228968E-06  -0.216008E+01   0.122585E+01   0.271262E-08   0.228968E-06   0.271262E-08   0.118468E-08
  2733   0.514439E+02  -0.212120E+01   0.228030E-06  -0.212120E+01   0.122257E+01   0.284325E-08   0.228030E-06   0.284325E-08   0.118388E-08
  2734   0.512731E+02  -0.208264E+01   0.227094E-06  -0.208264E+01   0.121949E+01   0.297302E-08   0.227094E-06   0.297302E-08   0.118307E-08
  2735   0.511009E+02  -0.204438E+01   0.226162E-06  -0.204438E+01   0.121661E+01   0.310190E-08   0.226162E-06   0.310190E-08   0.118227E-08
  2736   0.509272E+02  -0.200647E+01   0.225234E-06  -0.200647E+01   0.121394E+01   0.322990E-08   0.225234E-06   0.322990E-08   0.118147E-08
  2737   0.507523E+02  -0.196889E+01   0.224309E-06  -0.196889E+01   0.121145E+01   0.335700E-08   0.224309E-06   0.335700E-08   0.118067E-08
  2738   0.505759E+02  -0.193167E+01   0.223390E-06  -0.193167E+01   0.120917E+01   0.348318E-08   0.223390E-06   0.348318E-08   0.117987E-08
  2739   0.503984E+02  -0.189481E+01   0.222475E-06  -0.189481E+01   0.120707E+01   0.360844E-08   0.222475E-06   0.360844E-08   0.117908E-08
  2740   0.502196E+02  -0.185832E+01   0.221566E-06  -0.185832E+01   0.120518E+01   0.373277E-08   0.221566E-06   0.373277E-08   0.117828E-08
  2741   0.500396E+02  -0.182221E+01   0.220663E-06  -0.182221E+01   0.120347E+01   0.385615E-08   0.220663E-06   0.385615E-08   0.117748E-08
  2742   0.498583E+02  -0.178650E+01   0.219767E-06  -0.178650E+01   0.120195E+01   0.397858E-08   0.219767E-06   0.397858E-08   0.117669E-08
  2743   0.496759E+02  -0.175118E+01   0.218877E-06  -0.175118E+01   0.120063E+01   0.410004E-08   0.218877E-06   0.410004E-08   0.117589E-08
  2744   0.494925E+02  -0.171628E+01   0.217995E-06  -0.171628E+01   0.119948E+01   0.422052E-08   0.217995E-06   0.422052E-08   0.117510E-08
  2745   0.493079E+02  -0.168179E+01   0.217121E-06  -0.168179E+01   0.119852E+01   0.434002E-08   0.217121E-06   0.434002E-08   0.117430E-08
  2746   0.491223E+02  -0.164774E+01   0.216254E-06  -0.164774E+01   0.119774E+01   0.445851E-08   0.216254E-06   0.445851E-08   0.117351E-08
  2747   0.489356E+02  -0.161411E+01   0.215397E-06  -0.161411E+01   0.119714E+01   0.457600E-08   0.215397E-06   0.457600E-08   0.117272E-08
  2748   0.487480E+02  -0.158093E+01   0.214549E-06  -0.158093E+01   0.119672E+01   0.469246E-08   0.214549E-06   0.469246E-08   0.117192E-08
  2749   0.485593E+02  -0.154821E+01   0.213710E-06  -0.154821E+01   0.119648E+01   0.480789E-08   0.213710E-06   0.480789E-08   0.117113E-08
  2750   0.483698E+02  -0.151594E+01   0.212882E-06  -0.151594E+01   0.119641E+01   0.492228E-08   0.212882E-06   0.492228E-08   0.117034E-08
  2751   0.481794E+02  -0.148414E+01   0.212064E-06  -0.148414E+01   0.119650E+01   0.503562E-08   0.212064E-06   0.503562E-08   0.116955E-08
  2752   0.479882E+02  -0.145282E+01   0.211256E-06  -0.145282E+01   0.119677E+01   0.514790E-08   0.211256E-06   0.514790E-08   0.116877E-08
  2753   0.477961E+02  -0.142198E+01   0.210459E-06  -0.142198E+01   0.119720E+01   0.525911E-08   0.210459E-06   0.525911E-08   0.116798E-08
  2754   0.476033E+02  -0.139163E+01   0.209671E-06  -0.139163E+01   0.119779E+01   0.536926E-08   0.209671E-06   0.536926E-08   0.116719E-08
  2755   0.474098E+02  -0.136178E+01   0.208892E-06  -0.136178E+01   0.119856E+01   0.547834E-08   0.208892E-06   0.547834E-08   0.116640E-08
  2756   0.472157E+02  -0.133243E+01   0.208123E-06  -0.133243E+01   0.119947E+01   0.558634E-08   0.208123E-06   0.558634E-08   0.116562E-08
  2757   0.470209E+02  -0.130359E+01   0.207363E-06  -0.130359E+01   0.120055E+01   0.569326E-08   0.207363E-06   0.569326E-08   0.116483E-08
  2758   0.468256E+02  -0.127527E+01   0.206611E-06  -0.127527E+01   0.120178E+01   0.579910E-08   0.206611E-06   0.579910E-08   0.116405E-08
  2759   0.466296E+02  -0.124747E+01   0.205868E-06  -0.124747E+01   0.120316E+01   0.590385E-08   0.205868E-06   0.590385E-08   0.116327E-08
  2760   0.464331E+02  -0.122020E+01   0.205134E-06  -0.122020E+01   0.120468E+01   0.600750E-08   0.205134E-06   0.600750E-08   0.116248E-08
  2761   0.462361E+02  -0.119346E+01   0.204407E-06  -0.119346E+01   0.120635E+01   0.611006E-08   0.204407E-06   0.611006E-08   0.116170E-08
  2762   0.460386E+02  -0.116726E+01   0.203688E-06  -0.116726E+01   0.120817E+01   0.621152E-08   0.203688E-06   0.621152E-08   0.116092E-08
  2763   0.458407E+02  -0.114160E+01   0.202976E-06  -0.114160E+01   0.121013E+01   0.631187E-08   0.202976E-06   0.631187E-08   0.116014E-08
  2764   0.456424E+02  -0.111649E+01   0.202271E-06  -0.111649E+01   0.121222E+01   0.641111E-08   0.202271E-06   0.641111E-08   0.115936E-08
  2765   0.454437E+02  -0.109194E+01   0.201574E-06  -0.109194E+01   0.121444E+01   0.650923E-08   0.201574E-06   0.650923E-08   0.115858E-08
  2766   0.452447E+02  -0.106794E+01   0.200883E-06  -0.106794E+01   0.121680E+01   0.660624E-08   0.200883E-06   0.660624E-08   0.115780E-08
  2767   0.450454E+02  -0.104450E+01   0.200198E-06  -0.104450E+01   0.121929E+01   0.670212E-08   0.200198E-06   0.670212E-08   0.115703E-08
  2768   0.448460E+02  -0.102163E+01   0.199520E-06  -0.102163E+01   0.122190E+01   0.679687E-08   0.199520E-06   0.679687E-08   0.115625E-08
  2769   0.446463E+02  -0.999326E+00   0.198847E-06  -0.999326E+00   0.122463E+01   0.689050E-08   0.198847E-06   0.689050E-08   0.115547E-08
  2770   0.444464E+02  -0.977586E+00   0.198180E-06  -0.977586E+00   0.122749E+01   0.698298E-08   0.198180E-06   0.698298E-08   0.115470E-08
  2771   0.442465E+02  -0.956426E+00   0.197519E-06  -0.956426E+00   0.123046E+01   0.707433E-08   0.197519E-06   0.707433E-08   0.115392E-08
  2772   0.440464E+02  -0.935839E+00   0.196862E-06  -0.935839E+00   0.123354E+01   0.716453E-08   0.196862E-06   0.716453E-08   0.115315E-08
  2773   0.438463E+02  -0.915831E+00   0.196211E-06  -0.915831E+00   0.123673E+01   0.725358E-08   0.196211E-06   0.725358E-08   0.115238E-08
  2774   0.436462E+02  -0.896403E+00   0.195564E-06  -0.896403E+00   0.124003E+01   0.734147E-08   0.195564E-06   0.734147E-08   0.115160E-08
  2775   0.434461E+02  -0.877555E+00   0.194921E-06  -0.877555E+00   0.124343E+01   0.742821E-08   0.194921E-06   0.742821E-08   0.115083E-08
  2776   0.432460E+02  -0.859302E+00   0.194283E-06  -0.859302E+00   0.124693E+01   0.751379E-08   0.194283E-06   0.751379E-08   0.115006E-08
  2777   0.430460E+02  -0.841628E+00   0.193648E-06  -0.841628E+00   0.125053E+01   0.759819E-08   0.193648E-06   0.759819E-08   0.114929E-08
  2778   0.428462E+02  -0.824549E+00   0.193016E-06  -0.824549E+00   0.125423E+01   0.768143E-08   0.193016E-06   0.768143E-08   0.114852E-08
  2779   0.426465E+02  -0.808049E+00   0.192389E-06  -0.808049E+00   0.125801E+01   0.776349E-08   0.192389E-06   0.776349E-08   0.114775E-08
  2780   0.424471E+02  -0.792144E+00   0.191764E-06  -0.792144E+00   0.126188E+01   0.784437E-08   0.191764E-06   0.784437E-08   0.114698E-08
  2781   0.422479E+02  -0.776825E+00   0.191141E-06  -0.776825E+00   0.126584E+01   0.792407E-08   0.191141E-06   0.792407E-08   0.114622E-08
  2782   0.420490E+02  -0.762093E+00   0.190522E-06  -0.762093E+00   0.126987E+01   0.800258E-08   0.190522E-06   0.800258E-08   0.114545E-08
  2783   0.418505E+02  -0.747956E+00   0.189904E-06  -0.747956E+00   0.127399E+01   0.807990E-08   0.189904E-06   0.807990E-08   0.114468E-08
  2784   0.416524E+02  -0.734410E+00   0.189289E-06  -0.734410E+00   0.127817E+01   0.815602E-08   0.189289E-06   0.815602E-08   0.114392E-08
  2785   0.414547E+02  -0.721449E+00   0.188675E-06  -0.721449E+00   0.128243E+01   0.823093E-08   0.188675E-06   0.823093E-08   0.114315E-08
  2786   0.412573E+02  -0.709078E+00   0.188063E-06  -0.709078E+00   0.128675E+01   0.830464E-08   0.188063E-06   0.830464E-08   0.114239E-08
  2787   0.410606E+02  -0.697295E+00   0.187452E-06  -0.697295E+00   0.129115E+01   0.837715E-08   0.187452E-06   0.837715E-08   0.114163E-08
  2788   0.408643E+02  -0.686100E+00   0.186842E-06  -0.686100E+00   0.129560E+01   0.844843E-08   0.186842E-06   0.844843E-08   0.114086E-08
  2789   0.406685E+02  -0.675491E+00   0.186233E-06  -0.675491E+00   0.130011E+01   0.851850E-08   0.186233E-06   0.851850E-08   0.114010E-08
  2790   0.404733E+02  -0.665468E+00   0.185624E-06  -0.665468E+00   0.130467E+01   0.858734E-08   0.185624E-06   0.858734E-08   0.113934E-08
  2791   0.402788E+02  -0.656030E+00   0.185015E-06  -0.656030E+00   0.130928E+01   0.865496E-08   0.185015E-06   0.865496E-08   0.113858E-08
  2792   0.400849E+02  -0.647174E+00   0.184406E-06  -0.647174E+00   0.131394E+01   0.872134E-08   0.184406E-06   0.872134E-08   0.113782E-08
  2793   0.398917E+02  -0.638898E+00   0.183797E-06  -0.638898E+00   0.131865E+01   0.878649E-08   0.183797E-06   0.878649E-08   0.113706E-08
  2794   0.396992E+02  -0.631200E+00   0.183188E-06  -0.631200E+00   0.132339E+01   0.885040E-08   0.183188E-06   0.885040E-08   0.113630E-08
  2795   0.395075E+02  -0.624078E+00   0.182577E-06  -0.624078E+00   0.132817E+01   0.891306E-08   0.182577E-06   0.891306E-08   0.113555E-08
  2796   0.393166E+02  -0.617528E+00   0.181965E-06  -0.617528E+00   0.133299E+01   0.897447E-08   0.181965E-06   0.897447E-08   0.113479E-08
  2797   0.391264E+02  -0.611550E+00   0.181352E-06  -0.611550E+00   0.133783E+01   0.903463E-08   0.181352E-06   0.903463E-08   0.113403E-08
  2798   0.389371E+02  -0.606140E+00   0.180738E-06  -0.606140E+00   0.134271E+01   0.909353E-08   0.180738E-06   0.909353E-08   0.113328E-08
  2799   0.387488E+02  -0.601293E+00   0.180121E-06  -0.601293E+00   0.134761E+01   0.915117E-08   0.180121E-06   0.915117E-08   0.113252E-08
  2800   0.385612E+02  -0.597007E+00   0.179502E-06  -0.597007E+00   0.135253E+01   0.920754E-08   0.179502E-06   0.920754E-08   0.113177E-08
  2801   0.383747E+02  -0.593280E+00   0.178881E-06  -0.593280E+00   0.135746E+01   0.926264E-08   0.178881E-06   0.926264E-08   0.113101E-08
  2802   0.381891E+02  -0.590105E+00   0.178258E-06  -0.590105E+00   0.136241E+01   0.931648E-08   0.178258E-06   0.931648E-08   0.113026E-08
  2803   0.380045E+02  -0.587481E+00   0.177633E-06  -0.587481E+00   0.136737E+01   0.936905E-08   0.177633E-06   0.936905E-08   0.112951E-08
  2804   0.378209E+02  -0.585403E+00   0.177005E-06  -0.585403E+00   0.137234E+01   0.942036E-08   0.177005E-06   0.942036E-08   0.112876E-08
  2805   0.376385E+02  -0.583869E+00   0.176376E-06  -0.583869E+00   0.137731E+01   0.947042E-08   0.176376E-06   0.947042E-08   0.112801E-08
  2806   0.374570E+02  -0.582872E+00   0.175746E-06  -0.582872E+00   0.138228E+01   0.951922E-08   0.175746E-06   0.951922E-08   0.112726E-08
  2807   0.372767E+02  -0.582410E+00   0.175114E-06  -0.582410E+00   0.138725E+01   0.956677E-08   0.175114E-06   0.956677E-08   0.112651E-08
  2808   0.370975E+02  -0.582478E+00   0.174481E-06  -0.582478E+00   0.139222E+01   0.961308E-08   0.174481E-06   0.961308E-08   0.112576E-08
  2809   0.369195E+02  -0.583072E+00   0.173847E-06  -0.583072E+00   0.139717E+01   0.965814E-08   0.173847E-06   0.965814E-08   0.112501E-08
  2810   0.367426E+02  -0.584187E+00   0.173212E-06  -0.584187E+00   0.140211E+01   0.970197E-08   0.173212E-06   0.970197E-08   0.112427E-08
  2811   0.365669E+02  -0.585819E+00   0.172576E-06  -0.585819E+00   0.140703E+01   0.974457E-08   0.172576E-06   0.974457E-08   0.112352E-08
  2812   0.363925E+02  -0.587963E+00   0.171940E-06  -0.587963E+00   0.141194E+01   0.978593E-08   0.171940E-06   0.978593E-08   0.112277E-08
  2813   0.362193E+02  -0.590611E+00   0.171304E-06  -0.590611E+00   0.141682E+01   0.982607E-08   0.171304E-06   0.982607E-08   0.112203E-08
  2814   0.360473E+02  -0.593757E+00   0.170667E-06  -0.593757E+00   0.142167E+01   0.986498E-08   0.170667E-06   0.986498E-08   0.112128E-08
  2815   0.358767E+02  -0.597395E+00   0.170031E-06  -0.597395E+00   0.142651E+01   0.990268E-08   0.170031E-06   0.990268E-08   0.112054E-08
  2816   0.357074E+02  -0.601518E+00   0.169394E-06  -0.601518E+00   0.143131E+01   0.993916E-08   0.169394E-06   0.993916E-08   0.111980E-08
  2817   0.355395E+02  -0.606119E+00   0.168758E-06  -0.606119E+00   0.143607E+01   0.997442E-08   0.168758E-06   0.997442E-08   0.111905E-08
  2818   0.353729E+02  -0.611192E+00   0.168123E-06  -0.611192E+00   0.144080E+01   0.100085E-07   0.168123E-06   0.100085E-07   0.111831E-08
  2819   0.352078E+02  -0.616731E+00   0.167488E-06  -0.616731E+00   0.144549E+01   0.100413E-07   0.167488E-06   0.100413E-07   0.111757E-08
  2820   0.350440E+02  -0.622728E+00   0.166854E-06  -0.622728E+00   0.145014E+01   0.100730E-07   0.166854E-06   0.100730E-07   0.111683E-08
  2821   0.348817E+02  -0.629178E+00   0.166222E-06  -0.629178E+00   0.145475E+01   0.101034E-07   0.166222E-06   0.101034E-07   0.111609E-08
  2822   0.347208E+02  -0.636072E+00   0.165590E-06  -0.636072E+00   0.145931E+01   0.101327E-07   0.165590E-06   0.101327E-07   0.111535E-08
  2823   0.345614E+02  -0.643406E+00   0.164960E-06  -0.643406E+00   0.146381E+01   0.101608E-07   0.164960E-06   0.101608E-07   0.111462E-08
